DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_GE75,PC_ENT_IUSE,PT,2023,12.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,ES,2018,2.3,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,ES,2020,2.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,ES,2023,4.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,PT,2020,1.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,PT,2023,1.5,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT,SE,2018,2.8,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_CUSE,ES,2018,3.0,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_CUSE,SE,2018,3.1,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_IUSE,ES,2020,3.6,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_IUSE,ES,2023,4.9,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_IUSE,PT,2020,1.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_AP_LT10,PC_ENT_IUSE,PT,2023,1.7,
ESTAT:ISOC_EB_ICS(1.0),08/12/23 11:00:00,A,0-9,C10-S951_X_K,E_INV4S_EMP,PC_ENT,DE,2023,60.5,
